"subject","Glare:0.97","Glare:0.84","Glare:0.56","Glare:0.46","Halo:0.97","Halo:0.84","Halo:0.56","Halo:0.46"
"s02",-0.185686556503833,-0.175474480338643,-0.119776548520531,-0.191149559219416,-0.124345248048984,-0.107698610513221,-0.088406126150633,-0.0931036685693535
"s06",-0.463145838012844,-0.492266786186176,-0.374516282144248,-0.322939800328617,-0.286695292008691,-0.292718279605469,-0.227508293453454,-0.292181121431019
"s07",-0.183036729672008,-0.193196851534258,-0.140967468424252,-0.172871316456324,-0.126503602486912,-0.0645535988595097,-0.0848606695471739,-0.116300554312473
"s08",-0.102947729314063,-0.139993088961042,-0.175372818052783,-0.125345546335405,-0.0785789674133721,-0.089042267608401,-0.0958370463644407,0.0272228563073875
"s12",-0.437830685500974,-0.364589805012481,-0.300673370267133,-0.400317956146668,-0.149486510434864,-0.209377074690351,-0.232727133074468,-0.207976758725946
"s15",-0.17377454170217,-0.141733467863904,-0.141376746052048,-0.0872597129639273,-0.0629436804357688,0.0740308786054149,0.131892120975978,-0.103206823303822
"s18",-0.0538180072253028,-0.0524340924785253,-0.0947845556478506,-0.0817679946970194,-0.112143625076739,-0.139570663065657,-0.122278844587466,-0.117747929992154
"s19",-0.205564531385306,-0.187157244902506,-0.258746020487591,-0.316163195739048,-0.152806012874076,-0.206975829718946,-0.0681817710512043,-0.149339749132642
"s21",-0.0401669240062847,-0.0761981685845945,0.00475934827677524,-0.160083075737481,0.0157000955318438,-0.0349191247402678,0.0442807508236497,0.141462267275746
